"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","KC014N-ND","RL2006-125-73-D1","THERMISTOR NTC 200OHM 3468K DISC","TH1","1","0","2.66000","2.66"
"2","1","KC013N-ND","RL2003-62.4-73-D1","THERMISTOR NTC 100OHM 3468K DISC","TH2","1","0","3.44000","3.44"
"3","2","56-SFR25H0004700FR500CT-ND","SFR25H0004700FR500","RES 470 OHM 1/2W 1% AXIAL","R3, R4","2","0","0.24000","0.48"
"4","1","PPC200W-1CT-ND","PR01000102000JR500","RES 200 OHM 1W 5% AXIAL","R5","1","0","0.27000","0.27"
"5","1","PPC68W-1CT-ND","PR01000106809JR500","RES 68 OHM 1W 5% AXIAL","R6","1","0","0.27000","0.27"
"6","2","BC3614CT-ND","MBB02070C1500FCT00","RES 150 OHM 0.6W 1% AXIAL","R7, R10","2","0","0.30000","0.60"
"7","2","PPC10W-1CT-ND","PR01000101009JR500","RES 10 OHM 1W 5% AXIAL","R8, R12","2","0","0.27000","0.54"
"8","1","BC3564CT-ND","MBB02070C1000FCT00","RES 100 OHM 0.6W 1% AXIAL","R11","1","0","0.30000","0.30"
"9","4","749-2068-1-ND","CCF551K00FKE36","RES 1 KOHM 1% 1/2W AXIAL","R9, R13, R14, R15","4","0","0.20000","0.80"
"10","1","399-13043-ND","SMR5104J50J01L16.5CBULK","CAP FILM 0.1UF 5% 50VDC RADIAL","C1","1","0","1.48000","1.48"
"11","1","493-13019-ND","QAK2G225KTP","CAP FILM 2.2UF 10% 400VDC AXIAL","C2","1","0","4.54000","4.54"
"12","8","641-1973-ND","1N4002B-G","DIODE GEN PURP 100V 1A DO41","D1-D4, D10-13","8","0","0.21000","1.68"
"13","5","641-1999-ND","1N4004B-G","DIODE GEN PURP 400V 1A DO41","D5, D6, D7, D8, D9","5","0","0.21000","1.05"
"14","1","UF5404-E3/54GICT-ND","UF5404-E3/54","DIODE GEN PURP 400V 3A DO201AD","D14","1","0","0.67000","0.67"
"15","1","1740-1066-ND","BT151-500R,127","SCR 500V 12A TO220AB","TR1","1","0","0.66000","0.66"
"16","2","497-12729-5-ND","TS420-600T","SCR 600V 4A TO220AB","TR2, TR3","2","0","1.42000","2.84"
